unique_id,P90,MAE,RMSE,R2,relMAE
Badia dAlcúdia_2022,34.263674926757815,5.876080263985528,8.987124841999144,-7.948840038007274,0.1714959144501068
Cala Major_2022,37.92842483520508,5.126357719633314,7.222854207235433,-1.3430290173238277,0.13515872968378695
Cala Vedella_2022,152.6530914306641,10.781929617987739,16.014227578706777,-3.5761501596690177,0.07063027362852296
La Savina_2022,19.863231658935547,6.587634420394897,8.684504093406536,-3.083053984480231,0.3316496798461003
Marina_2022,298.34275817871094,21.300939364963106,31.731855254771848,-6.122622300693852,0.07139754118718573
Palma_2022,50.13258590698242,7.186141274770101,9.215147772585595,-1.8820473657726442,0.14334272100193463
"Platja d'or (Can Pastilla, desde BonaOna)_2022",60.317644119262695,5.66515694088406,7.7178416218699075,-1.9429944245777029,0.09392205255368832
Playa de Magaluf_2022,45.26050872802737,3.975384880701701,6.91271960996014,-10.45491994411234,0.08783341134298744
Punta de Sa Galera_2022,60.93462982177735,11.379924999872843,14.825580186927624,-3.937391016598448,0.18675628346569173
Son Serra de Marina_2022,43.73243522644043,15.957365725835164,29.54741327412197,-17.612566238633487,0.364886282760385
cala-fornells_2_2025,112.0,41.00878600067563,54.03089098125492,-1.8742758483611652,0.3661498750060324
cala-portals-vells_2025,65.0,11.612954623434279,16.222361922386366,-0.07022312214445892,0.17866084036052737
cala-vedella_1_2025,40.0,2.3122993999057346,3.2022191546022567,-1.812320744369977,0.05780748499764336
cala-vedella_2025,207.5999999999999,9.601246284378899,14.269150526970538,-4.011129657199302,0.046248777863096835
can-pastilla-bonaona_2025,174.0,80.01948019769456,124.42400382173194,-3.0520526138245296,0.4598820701016929
can-pastilla_mallorca-pipeline_2025,72.0,10.467887635363473,15.238049423649194,-1.4408509433152061,0.14538732826893713
es-pujols_2025,71.4520141601564,7.758246468438043,10.46680292647413,-0.014639960815329811,0.10857981485376034
golf-camp-de-mar_2025,60.0,10.58367413520813,15.96392444269012,-5.7342170574017945,0.1763945689201355
muro-sector-i_2025,77.0,43.337061018678874,52.703050505753,-1.0383531428005046,0.5628189742685568
platja-de-peguera_1_2025,270.5,34.1957687886556,56.99278793293031,0.18345136699348108,0.12641689016138855
platja-marina_2025,20.0,3.308980890115102,6.515821576000875,-6.93283412205592,0.1654490445057551
playa-de-palmira_1_2025,137.0,18.931234015888638,27.371814062214675,0.4277276803565615,0.13818418989699735
playa-de-palmira_2025,176.0,19.416798176765443,29.343419186717107,0.2979164506548525,0.11032271691344002
playa-de-ses-penyes-roges_2025,89.0,115.12178265783521,170.1452674039457,-12.654517295945231,1.2935031759307327
playa-de-tora_2025,149.0,31.215090972582498,40.107303866733346,-0.01932008617403369,0.20949725484954695
port-dandratx-port_1_2025,49.0,19.3471158779992,25.957017008527398,-1.8813403298033289,0.3948390995510041
punta-de-sa-galera_2025,57.0,1.617599200937483,2.3796478815077045,-1.5505907824371175,0.028378933349780405
son-serra-de-marina_2025,39.0,6.787451575067308,11.872644231770805,-3.9422159629804963,0.17403721987352072
